ID,Ni,Ni_Mg,Cu_Ni,Co_Ni,Zn_Ni,Mg,Cu_Mg,Co_Mg,Zn_Mg,Cu,Co_Cu,Zn_Cu,Co,Zn_Co,Zn,energy
1,4,13,15,17,19,5,16,20,13,4,15,18,4,24,5,
2,6,14,18,12,16,4,18,13,19,0,21,15,11,16,9,
